sample_id	condition	replicate	fast5_dir
rlmF	control	0	/hps/nobackup/iqbal/mbhall/rna_mod/data/rlmF/control
rlmF	test	0	/hps/nobackup/iqbal/mbhall/rna_mod/data/rlmF/knockdown
